"id";"nome";"estado_id"
653;"TIMON";16
654;"TRIZIDELA DO VALE";16
655;"TUFILANDIA";16
656;"TUNTUM";16
657;"TURIACU";16
658;"TURILANDIA";16
659;"TUTOIA";16
660;"URBANO SANTOS";16
661;"VARGEM GRANDE";16
662;"VIANA";16
663;"VILA NOVA DOS MARTIRIOS";16
664;"VITORIA DO MEARIM";16
665;"VITORINO FREIRE";16
666;"ZE DOCA";16
667;"ACAUA";17
668;"AGRICOLANDIA";17
669;"AGUA BRANCA";17
670;"ALAGOINHA DO PIAUI";17
671;"ALEGRETE DO PIAUI";17
672;"ALTO LONGA";17
673;"ALTOS";17
674;"ALVORADA DO GURGUEIA";17
675;"AMARANTE";17
676;"ANGICAL DO PIAUI";17
677;"ANISIO DE ABREU";17
678;"ANTONIO ALMEIDA";17
679;"AROAZES";17
680;"ARRAIAL";17
681;"ASSUNCAO DO PIAUI";17
682;"AVELINO LOPES";17
683;"BAIXA GRANDE DO RIBEIRO";17
684;"BARRA D'ALCANTARA";17
685;"BARRAS";17
686;"BARREIRAS DO PIAUI";17
687;"BARRO DURO";17
688;"BATALHA";17
689;"BELA VISTA DO PIAUI";17
690;"BELEM DO PIAUI";17
691;"BENEDITINOS";17
692;"BERTOLINIA";17
693;"BETANIA DO PIAUI";17
694;"BOA HORA";17
695;"BOCAINA";17
696;"BOM JESUS";17
697;"BOM PRINCIPIO DO PIAUI";17
698;"BONFIM DO PIAUI";17
699;"BOQUEIRAO DO PIAUI";17
700;"BRASILEIRA";17
701;"BREJO DO PIAUI";17
702;"BURITI DOS LOPES";17
703;"BURITI DOS MONTES";17
704;"CABECEIRAS DO PIAUI";17
705;"CAJAZEIRAS DO PIAUI";17
706;"CAJUEIRO DA PRAIA";17
707;"CALDEIRAO GRANDE DO PIAUI";17
708;"CAMPINAS DO PIAUI";17
709;"CAMPO ALEGRE DO FIDALGO";17
710;"CAMPO GRANDE DO PIAUI";17
711;"CAMPO LARGO DO PIAUI";17
712;"CAMPO MAIOR";17
713;"CANAVIEIRA";17
714;"CANTO DO BURITI";17
715;"CAPITAO DE CAMPOS";17
716;"CAPITAO GERVASIO OLIVEIRA";17
717;"CARACOL";17
718;"CARAUBAS DO PIAUI";17
719;"CARIDADE DO PIAUI";17
720;"CASTELO DO PIAUI";17
721;"CAXINGO";17
722;"COCAL";17
723;"COCAL DE TELHA";17
724;"COCAL DOS ALVES";17
725;"COIVARAS";17
726;"COLONIA DO GURGUEIA";17
727;"COLONIA DO PIAUI";17
728;"CONCEICAO DO CANINDE";17
729;"CORONEL JOSE DIAS";17
730;"CORRENTE";17
731;"CRISTALANDIA DO PIAUI";17
732;"CRISTINO CASTRO";17
733;"CURIMATA";17
734;"CURRAIS";17
735;"CURRALINHOS";17
736;"CURRAL NOVO DO PIAUI";17
737;"DEMERVAL LOBAO";17
738;"DIRCEU ARCOVERDE";17
739;"DOM EXPEDITO LOPES";17
740;"DOMINGOS MOURAO";17
741;"DOM INOCENCIO";17
742;"ELESBAO VELOSO";17
743;"ELISEU MARTINS";17
744;"ESPERANTINA";17
745;"FARTURA DO PIAUI";17
746;"FLORES DO PIAUI";17
747;"FLORESTA DO PIAUI";17
748;"FLORIANO";17
749;"FRANCINOPOLIS";17
750;"FRANCISCO AYRES";17
751;"FRANCISCO MACEDO";17
752;"FRANCISCO SANTOS";17
753;"FRONTEIRAS";17
754;"GEMINIANO";17
755;"GILBUES";17
756;"GUADALUPE";17
757;"GUARIBAS";17
758;"HUGO NAPOLEAO";17
759;"ILHA GRANDE";17
760;"INHUMA";17
761;"IPIRANGA DO PIAUI";17
762;"ISAIAS COELHO";17
763;"ITAINOPOLIS";17
764;"ITAUEIRA";17
765;"JACOBINA DO PIAUI";17
766;"JAICOS";17
767;"JARDIM DO MULATO";17
768;"JATOBA DO PIAUI";17
769;"JERUMENHA";17
770;"JOAO COSTA";17
771;"JOAQUIM PIRES";17
772;"JOCA MARQUES";17
773;"JOSE DE FREITAS";17
774;"JUAZEIRO DO PIAUI";17
775;"JULIO BORGES";17
776;"JUREMA";17
777;"LAGOINHA DO PIAUI";17
778;"LAGOA ALEGRE";17
779;"LAGOA DO BARRO DO PIAUI";17
780;"LAGOA DE SAO FRANCISCO";17
781;"LAGOA DO PIAUI";17
782;"LAGOA DO SITIO";17
783;"LANDRI SALES";17
784;"LUIS CORREIA";17
785;"LUZILANDIA";17
786;"MADEIRO";17
787;"MANOEL EMIDIO";17
788;"MARCOLANDIA";17
789;"MARCOS PARENTE";17
790;"MASSAPE DO PIAUI";17
791;"MATIAS OLIMPIO";17
792;"MIGUEL ALVES";17
793;"MIGUEL LEAO";17
794;"MILTON BRANDAO";17
795;"MONSENHOR GIL";17
796;"MONSENHOR HIPOLITO";17
797;"MONTE ALEGRE DO PIAUI";17
798;"MORRO CABECA NO TEMPO";17
799;"MORRO DO CHAPEU DO PIAUI";17
800;"MURICI DOS PORTELAS";17
801;"NAZARE DO PIAUI";17
802;"NOSSA SENHORA DE NAZARE";17
803;"NOSSA SENHORA DOS REMEDIO";17
804;"NOVO ORIENTE DO PIAUI";17
805;"NOVO SANTO ANTONIO";17
806;"OEIRAS";17
807;"OLHO D'AGUA DO PIAUI";17
808;"PADRE MARCOS";17
809;"PAES LANDIM";17
810;"PAJEU DO PIAUI";17
811;"PALMEIRA DO PIAUI";17
812;"PALMEIRAIS";17
813;"PAQUETA";17
814;"PARNAGUA";17
815;"PARNAIBA";17
816;"PASSAGEM FRANCA DO PIAUI";17
817;"PATOS DO PIAUI";17
818;"PAULISTANA";17
819;"PAVUSSU";17
820;"PEDRO II";17
821;"PEDRO LAURENTINO";17
822;"PETRONIO PORTELA";17
823;"PICOS";17
824;"PIMENTEIRAS";17
825;"PIO IX";17
826;"PIRACURUCA";17
827;"PIRIPIRI";17
828;"PORTO";17
829;"PORTO ALEGRE DO PIAUI";17
830;"PRATA DO PIAUI";17
831;"QUEIMADA NOVA";17
832;"REDENCAO DO GURGUEIA";17
833;"REGENERACAO";17
834;"RIACHO FRIO";17
835;"RIBEIRA DO PIAUI";17
836;"RIBEIRO GONCALVES";17
837;"RIO GRANDE DO PIAUI";17
838;"SANTA CRUZ DO PIAUI";17
839;"SANTA CRUZ DOS MILAGRES";17
840;"SANTA FILOMENA";17
841;"SANTA LUZ";17
842;"SANTANA DO PIAUI";17
843;"SANTA ROSA DO PIAUI";17
844;"SANTO ANTONIO DE LISBOA";17
845;"SANTO ANTONIO DOS MILAGRE";17
846;"SANTO INACIO DO PIAUI";17
847;"SAO BRAZ DO PIAUI";17
848;"SAO FELIX DO PIAUI";17
849;"SAO FRANCISCO DE ASSIS DO";17
850;"SAO FRANCISCO DO PIAUI";17
851;"SAO GONCALO DO GURGUEIA";17
852;"SAO GONCALO DO PIAUI";17
853;"SAO JOAO DA CANABRAVA";17
854;"SAO JOAO DA FRONTEIRA";17
855;"SAO JOAO DA SERRA";17
856;"SAO JOAO DA VARJOTA";17
857;"SAO JOAO DO ARRAIAL";17
858;"SAO JOAO DO PIAUI";17
